"","Comp 1","Comp 2","Comp 3"
"mns20pip2p2",0.226960904078446,-0.176325982801937,0.14792352899824
"mns20pip4p",0.195250198504565,0.0616659454000592,-0.035982206413096
"mns22pip2p",-0.10902835050756,0.246239802329918,0.138520655830233
"mns24pip4p",-0.145459576685789,0.14757153855278,0.25967540134105
"mns9pip4p",-0.36952332372098,0.211421658131772,0.0530365578825062
"mnsC50pip2p",-0.190103986411731,-0.020034603170298,0.174758689278934
"mnsC51pip4p2",0.230010721266162,-0.17037457665587,0.161969977104179
"mnsC52pip2p2",0.356738517116338,-0.163331668858162,0.357487343545286
"mnsC53pip2p2",0.336506563463079,-0.014083647418556,0.0641845548331901
"mnsJ1pip4p",0.149564899940925,0.279672210635243,-0.111072567938622
"mns12pip4p",-0.11754112196893,0.00413413163999855,0.189122801170704
"mns15pip2p",-0.656503287310091,-0.363372195893977,-0.068057691950184
"mns15pip4p2",0.176708699511093,-0.356675939898733,0.0337020684023395
"mns18pip2p",-0.688795357864264,0.187142564411815,-0.13403090807979
"mns23pip2p",-0.165208355106909,-0.343288607398554,0.0112790780275174
"mns23pip4p",0.043713457012781,-0.240633572388467,-0.051087015033523
"mns24pip2p",-0.13008041496933,-0.177475089393564,0.19155954364531
"mns41pip4p",-0.172883920681506,-0.0503111704131848,-0.0730646075699474
"mns9pip2p",-0.662914627420508,-0.0964812274896769,-0.204852720730737
"mnsC52pip4p",-0.626082729417416,-0.111074842573678,-0.0212228182184377
"mns13pip3p_again",-0.392347839373356,0.0595897656104043,0.0542872578663099
"mns1pip3p",0.178497588303504,-0.371921853802507,-0.0677261200733935
"mns26pip1p",-0.133192661179027,0.614575959992418,0.00834213540117379
"mns27pip1p",0.0260031808944174,-0.193003249156919,0.0955258999173476
"mns28pip1p2",0.0569047666195846,0.151824161928114,0.155065430039656
"mns2pip1p2",0.257365272003418,0.0451142123916523,-0.0090999218928308
"mns31pip3p2",0.258491096921093,0.00302605605091349,0.0201396920414045
"mns32pip3p",0.283083432837989,0.224787534769557,-0.118871819219889
"mns34pip3p",-0.00343412889946107,0.282389803868427,0.119902474611528
"mns4pip1p",-0.0998909813093145,0.178861062733702,0.039447124262054
"mns25pip3p",-0.00590917111844646,0.305132961229719,-0.118921794248548
"mns26pip3p2",0.222607017910268,-0.0797922593970689,-0.0658463491812152
"mns30pip1p",0.0350343909169879,-0.14158407365208,-0.000640504142692213
"mns30pip3p2",0.332248782709213,0.0783906354004001,-0.212970058964101
"mns32pip1p",0.150154840001858,0.136682304959526,-0.121143329924102
"mns34pip1p",0.233245654781003,-0.177742166848462,-0.342518275801505
"mns35pip1p2",0.379269640372774,0.367341225893844,-0.070161365634622
"mns3pip3p",0.121872914175435,-0.118269160489854,-0.131557534963992
"mns4pip3p2",0.271886558287194,-0.0724585434283796,-0.109632674240388
"mns6pip1p",0.146780736316491,-0.147329104800335,-0.207469929977345
