"","RT","feature_rank","direction","metabolite.id","peak_no","sum_out1","featureRankedList4join2"
"1","X10.17316668",86,"down","alanine",68,140.357920531871,86
"2","X10.17316694",84,"down","alanine",69,134.641250851587,84
"3","X12.85133313",42,"up","valine",167,134.408973318357,42
"4","X14.34158344",44,"up","phosphate",233,127.820962419745,44
"5","X14.3480001",75,"down","phosphate",240,135.963616140898,75
"6","X14.8730837",80,"up","proline",330,129.739936781382,80
"7","X15.0651664",64,"down","glycine",350,135.715954748204,64
"8","X15.07308317",82,"down","glycine",367,134.873480734745,82
"9","X16.29466738",54,"up","serine",382,115.810405017761,54
"10","X16.30416622",13,"down","serine",395,131.308865739225,13
"11","X16.30483329",76,"down","serine",402,131.271686773394,76
"12","X16.30491662",40,"down","serine",406,138.888179187648,40
"13","X16.30550035",51,"down","serine",415,136.955231335994,51
"14","X16.86816717",43,"down","threonine",430,125.925591389366,43
"15","X16.87091681",78,"down","threonine",444,133.034740048829,78
"16","X17.80200005",19,"down","alanine",449,135.407335489788,19
"17","X18.1706668",74,"down","",462,132.944849957312,74
"18","X19.15374969",6,"down","butanedioic acid",484,128.833695629126,6
"19","X19.1540001",63,"down","butanedioic acid",498,124.470720361239,63
"20","X19.86166734",8,"up","aspartic acid",524,143.48762883462,8
"21","X19.86175031",65,"down","aspartic acid",527,130.904244115409,65
"22","X19.86183401",94,"up","aspartic acid",528,121.417789140545,94
"23","X19.87850067",27,"down","pyroglutamic acid",572,144.668138024515,27
"24","X19.88650011",24,"up","aspartic acid",575,115.720040694326,24
"25","X20.56808271",14,"down","cysteine",605,126.254979848431,14
"26","X20.66766647",71,"down","trihydroxybutyric acid",609,131.873138938597,71
"27","X21.47466596",83,"down","proline/valine",620,152.223854303363,83
"28","X21.89816723",69,"down","glutamine",624,119.249126136587,69
"29","X21.93866611",31,"up","glutamine",630,141.075121672351,31
"30","X21.95383243",52,"up","glutamine",644,126.779106068494,52
"31","X21.95449924",29,"up","glutamine",656,125.760133917917,29
"32","X22.03499947",68,"down","phenylalanine",674,126.634076198,68
"33","X22.90500051",98,"down","asparagine",693,123.109583900059,98
"34","X22.91850014",33,"down","asparagine",697,115.028526459832,33
"35","X22.93800016",28,"down","asparagine",700,141.599177247281,28
"36","X23.04933391",32,"up","ribose",706,160.707742107098,32
"37","X23.06508332",11,"up","ribose",719,117.379149296499,11
"38","X23.09850056",25,"down","ribose",749,143.043063550113,25
"39","X23.64808332",12,"down","?",751,138.621485485825,12
"40","X23.96649931",21,"up","phosphoric acid",758,126.476636502658,21
"41","X24.21650016",1,"down","lysine",771,127.651035780646,1
"42","X24.49758359",79,"down","urea (NOT UREA)",776,126.624862400682,79
"43","X24.76016701",60,"down","phosphate derivative",793,123.268721501579,60
"44","X24.76599957",58,"down","phosphate derivative",804,119.224781764022,58
"45","X24.77099996",38,"up","phosphate derivative",819,119.27472368445,38
"46","X24.77408309",70,"up","phosphate derivative",830,142.004193918917,70
"47","X24.78549997",59,"up","phosphate derivative",841,118.392516898975,59
"48","X25.55983354",49,"down","hypoxanthine",856,140.721014846518,49
"49","X25.56049943",15,"down","hypoxanthine",859,120.946639265407,15
"50","X25.75133398",62,"up","ornithine",871,113.454644965106,62
"51","X25.75274949",23,"down","ornithine",874,128.008991723669,23
"52","X25.75299947",87,"down","ornithine",875,125.824862944626,87
"53","X25.75299989",22,"down","ornithine",879,123.247723486111,22
"54","X26.28416636",77,"down","ornithine",898,128.505457441964,77
"55","X26.39700011",18,"down","lysine",900,137.221659358429,18
"56","X26.39766677",16,"down","lysine",904,138.092835808262,16
"57","X26.39933342",50,"down","lysine",907,139.816429437178,50
"58","X27.29400037",91,"down","glucose",965,115.783051140271,91
"59","X27.2959998",34,"down","glucose",969,116.566735500745,34
"60","X27.29683371",92,"up","glucose",974,127.54211215062,92
"61","X27.29924997",20,"down","glucose",994,113.747352185203,20
"62","X27.3085839",81,"down","glucose",1010,133.026802454629,81
"63","X27.31141725",17,"up","glucose",1016,113.238924198811,17
"64","X27.32091704",73,"down","glucose",1046,118.395080577022,73
"65","X27.33458314",48,"down","glucose",1075,128.049401315653,48
"66","X27.50349969",3,"down","histidine",1089,140.259134615816,3
"67","X27.7163327",90,"down","galactose",1142,114.068952683869,90
"68","X27.9710002",37,"up","tyrosine",1177,123.528700146419,37
"69","X28.54349928",53,"up","gluconic acid",1184,116.918803558028,53
"70","X29.21349909",47,"down","purine derivative",1218,145.159824277512,47
"71","X29.30641635",55,"down","myo inositol",1219,115.418225335258,55
"72","X29.38050027",67,"down","myo inositol",1224,123.189353599645,67
"73","X29.7124996",96,"down","no peak ?",1240,128.332446934715,96
"74","X29.77266649",45,"down","ribose 6 phosphate",1244,127.0175927764,45
"75","X30.41866574",4,"up","myoinositol",1262,117.603696475872,4
"76","X30.41949906",89,"up","myoinositol",1264,118.487312230912,89
"77","X30.42049905",36,"up","myoinositol",1268,133.286259270173,36
"78","X32.85033242",30,"down","myoinositol",1316,122.499893050407,30
"79","X32.85725041",46,"down","myoinositol",1340,140.869716978065,46
"80","X32.95383416",85,"down","ribose 6 phosphate",1365,121.595895802926,85
"81","X36.44866709",95,"down","sugarz",1436,133.588196859857,95
"82","X36.45650099",57,"down","sugarz",1443,116.931915117967,57
"83","X37.26149952",10,"down","sugarz",1454,125.065265782293,10
