"","RT","feature_rank","Direction","metabolite.id","peak_no","peak_value","featureRankedList4join2"
"1","X10.17266668",92,"up","alanine",54,0.611380518419006,92
"2","X10.18783344",5,"up","",77,0.610477540524579,5
"3","X10.47549964",14,"down","",83,0.82328562288188,14
"4","X10.5065002",91,"down","",98,0.900523454235962,91
"5","X11.01008341",89,"down","",111,0.774877453476447,89
"6","X11.89283294",97,"up","phosphoric acid",130,0.581069492237857,97
"7","X11.89499999",11,"up","phosphoric acid",144,0.686166061077629,11
"8","X14.34816656",43,"down","phosphate",241,0.700508187546137,43
"9","X14.38633324",10,"down","phosphate",294,0.734282939347822,10
"10","X15.06599976",12,"down","glycine",365,0.584903525525214,12
"11","X17.80200082",1,"down","alanine",455,0.743392722287341,1
"12","X19.88616678",30,"down","pyroglutamic acid",574,0.710927034326522,30
"13","X21.0950007",8,"down","",611,0.863071960561948,8
"14","X21.95383355",59,"down","glutamine",645,0.912124100896019,59
"15","X21.95441592",18,"down","glutamic acid",654,0.726234973919471,18
"16","X21.95499944",85,"down","glutamic acid",665,0.770052434547683,85
"17","X22.03483261",38,"down","phenylalanine",670,0.679158179060904,38
"18","X22.93800016",35,"up","",700,0.577071506288642,35
"19","X22.98366759",4,"down","asparagine",701,0.571743340120384,4
"20","X23.07533314",82,"down","ribose",734,0.752573685370883,82
"21","X23.08116722",95,"down","ribose",736,0.847335104705037,95
"22","X24.75683327",75,"up","glycerol phosphate",788,0.660294075615658,75
"23","X24.76599957",16,"up","glycerol phosphate",804,0.683664001542472,16
"24","X25.55983239",15,"down","hypoxanthine",850,0.79154258974855,15
"25","X25.55983354",93,"down","hypoxanthine",856,0.67552046640846,93
"26","X25.73700065",19,"down","l-ornithine",867,0.72533316345002,19
"27","X25.75333282",21,"down","ornithine",890,1.040586927101,21
"28","X27.25699996",53,"down","glucose",944,0.712130897376172,53
"29","X27.28199959",63,"down","glucose",950,0.741866144160393,63
"30","X27.29400037",77,"down","glucose",965,0.912562078455524,77
"31","X27.2981663",64,"down","glucose",984,1.09568216750809,64
"32","X27.29949962",24,"up","glucose",996,0.929038500511682,24
"33","X27.31141725",94,"down","glucose",1016,0.938725075720039,94
"34","X27.31333334",34,"down","glucose",1019,0.945792695705928,34
"35","X27.31366705",13,"up","glucose",1023,0.845171236466161,13
"36","X27.31391667",72,"down","glucose",1025,0.850855353289734,72
"37","X27.3366659",50,"down","glucose",1076,0.839436436704879,50
"38","X27.35791611",96,"up","glucose",1085,1.00579891018531,96
"39","X27.57250009",55,"up","glucose",1094,0.624587982728485,55
"40","X27.58916597",79,"up","glucose",1097,1.07178243119982,79
"41","X27.61325087",3,"up","",1106,0.970023708678307,3
"42","X27.70150051",25,"up","",1134,0.839055707443595,25
"43","X27.71633382",32,"down","",1144,0.591911110699011,32
"44","X27.73266641",20,"down","lysine",1162,0.69258323045367,20
"45","X28.54349928",66,"down","d-altrose",1184,0.812663201043592,66
"46","X29.37533265",28,"down","myo inositol",1223,0.780865394671459,28
"47","X29.77549963",78,"down","",1246,0.679482075125546,78
"48","X29.84116745",48,"down","",1251,0.671341275848344,48
"49","X30.40466572",9,"down","",1252,0.857646836359618,9
"50","X30.41499965",26,"down","galactofuranose",1256,0.702671910824396,26
"51","X30.42049905",56,"down","inositol",1268,0.814876281175892,56
"52","X32.84866841",45,"up","",1314,0.569292872132591,45
"53","X32.85216708",49,"down","",1334,0.560325496245725,49
"54","X32.85216842",37,"up","",1335,0.670371789005626,37
"55","X32.85699908",58,"up","",1339,0.79412693858256,58
"56","X32.86708451",54,"up","",1356,0.70185023141533,54
"57","X33.12733289",80,"down","",1370,0.892495961125597,80
"58","X33.57533266",71,"down","",1385,0.810759298851885,71
"59","X33.60108208",68,"up","",1389,0.641806551013926,68
"60","X33.60749817",76,"down","",1391,0.891935383443537,76
"61","X33.88216835",74,"down","d-glucose",1410,0.674359910895495,74
"62","X35.26533506",57,"down","",1418,0.623276621702705,57
"63","X37.10108357",81,"down","",1451,0.689079847960703,81
"64","X37.4381649",31,"up","adenosine",1455,0.85777518334639,31
"65","X37.45316759",69,"up","",1464,0.89295372168317,69
"66","X38.77416497",42,"up","",1481,0.889607108908938,42
"67","X39.68350164",29,"up","glucose",1492,0.847568198122743,29
"68","X39.69166563",27,"down","",1516,0.867023994940802,27
"69","X39.69225028",52,"down","",1528,0.853141955501882,52
"70","X39.69266828",36,"down","",1534,0.82561404583172,36
"71","X39.69300162",46,"down","",1535,0.832044416451242,46
"72","X39.69925029",61,"down","",1542,0.739091230204526,61
