"","RT","feature_rank","Direction","metabolite.id","peak_no","sum_out1","featureRankedList4join2"
"1","X10.1722499",83,"up","alanine",45,141.818821948511,83
"2","X10.17266668",92,"up","alanine",54,135.389917488222,92
"3","X10.18783344",5,"up","",77,132.236320314912,5
"4","X10.47549964",14,"down","",83,122.938172242114,14
"5","X11.01008341",89,"down","",111,136.054711048788,89
"6","X11.89283294",97,"up","phosphoric acid",130,128.036021456018,97
"7","X11.89499999",11,"up","phosphoric acid",144,138.822788298891,11
"8","X15.0646664",39,"down","glycine",348,130.771131658152,39
"9","X15.06599976",12,"down","glycine",365,140.153346429493,12
"10","X16.29633291",6,"up","serine",383,140.050820528717,6
"11","X16.31000033",2,"down","serine",420,138.07949512174,2
"12","X17.80200082",1,"down","alanine",455,125.619804408567,1
"13","X18.97749926",60,"up","",473,141.425053611959,60
"14","X19.86216737",67,"down","proline",541,128.672125115439,67
"15","X19.87741699",41,"down","pyroglutamic acid",555,122.737445092347,41
"16","X19.88616678",30,"down","pyroglutamic acid",574,140.858035118539,30
"17","X21.95383355",59,"down","glutamine",645,113.682723958776,59
"18","X21.95441592",18,"down","glutamic acid",654,127.792149558094,18
"19","X21.95499944",85,"down","glutamic acid",665,125.365628938917,85
"20","X22.03483261",38,"down","phenylalanine",670,125.237022866645,38
"21","X22.93800016",35,"up","",700,141.599177247281,35
"22","X22.98366759",4,"down","asparagine",701,136.997037257288,4
"23","X23.05033428",7,"down","",708,133.181579070342,7
"24","X23.07533314",82,"down","ribose",734,130.322639662313,82
"25","X23.08116722",95,"down","ribose",736,116.407303461722,95
"26","X24.76599957",16,"up","glycerol phosphate",804,119.224781764022,16
"27","X25.09133416",44,"up","",846,124.535846832621,44
"28","X25.55983239",15,"down","hypoxanthine",850,119.176402599294,15
"29","X25.55983354",93,"down","hypoxanthine",856,140.721014846518,93
"30","X25.73700065",19,"down","l-ornithine",867,118.169234076851,19
"31","X27.25699996",53,"down","glucose",944,126.286100491992,53
"32","X27.28199959",63,"down","glucose",950,118.326286070786,63
"33","X27.29400037",77,"down","glucose",965,115.783051140271,77
"34","X27.2981663",64,"down","glucose",984,122.572112725603,64
"35","X27.29949962",24,"up","glucose",996,126.185021637224,24
"36","X27.31141725",94,"down","glucose",1016,113.238924198811,94
"37","X27.31366705",13,"up","glucose",1023,137.615579513213,13
"38","X27.31391667",72,"down","glucose",1025,114.79426462891,72
"39","X27.3366659",50,"down","glucose",1076,120.477219948126,50
"40","X27.57250009",55,"up","glucose",1094,133.374265032048,55
"41","X27.61716713",17,"down","galactose",1108,132.418174224043,17
"42","X28.54349928",66,"down","d-altrose",1184,116.918803558028,66
"43","X29.37533265",28,"down","myo inositol",1223,131.935784640411,28
"44","X29.77549963",78,"down","",1246,123.492736424517,78
"45","X29.84116745",48,"down","",1251,130.251322197443,48
"46","X30.40466572",9,"down","",1252,128.674060897255,9
"47","X30.41499965",26,"down","galactofuranose",1256,147.637403893159,26
"48","X30.42049905",56,"down","inositol",1268,133.286259270173,56
"49","X32.30383189",23,"down","tryptophan",1298,118.615112049179,23
"50","X32.3360838",70,"down","",1308,136.609662335177,70
"51","X32.84866841",45,"up","",1314,141.860481058427,45
"52","X32.85116575",62,"up","",1331,141.00958820475,62
"53","X32.85216708",49,"down","",1334,132.501240382492,49
"54","X32.85216842",37,"up","",1335,141.846201714923,37
"55","X32.85699908",58,"up","",1339,120.267786841503,58
"56","X32.86691652",51,"up","",1349,162.199975649018,51
"57","X32.86708451",54,"up","",1356,124.950147994629,54
"58","X33.57533266",71,"down","",1385,113.046204870224,71
"59","X33.60108208",68,"up","",1389,129.321983813568,68
"60","X35.26533506",57,"down","",1418,120.770806355536,57
"61","X36.44033318",73,"up","",1435,141.466596514454,73
"62","X36.45633202",33,"up","",1441,124.436175604693,33
"63","X37.26149952",40,"up","",1454,125.065265782293,40
"64","X37.4381649",31,"up","adenosine",1455,127.131457116279,31
"65","X37.45316759",69,"up","",1464,113.442976056262,69
"66","X37.45433313",47,"up","",1470,150.195152997113,47
"67","X39.68350164",29,"up","glucose",1492,115.792834822417,29
"68","X39.69225028",52,"down","",1528,119.951577789436,52
"69","X39.69300162",46,"down","",1535,123.814911879531,46
"70","X39.69925029",61,"down","",1542,117.036369283125,61
